Smiles,cid
N#Cc1c(Cl)c(C#N)c(Nc2ccc(Br)cc2)c(C#N)c1Cl,CID308
Cc1cc(-n2c(C)nc3cc(Cl)ccc3c2=O)on1,CID309
C=CCN=C(O)N1CC(c2ccccc2)OC1=O,CID310
COc1ccc(/C=C/C2=NC(C)(C)CS2)cc1,CID311
Oc1nc(=S)oc2ccc(Cl)cc12,CID312
Cc1nc2c(nnc3cc(F)ccc32)c(=O)n1CCN1CCOCC1,CID313
CCOP(=S)(Oc1c([N+](=O)[O-])cccc1[N+](=O)[O-])c1ccccc1,CID314
COc1cc(N=C(O)N2CCCO2)cc(OC)c1OC,CID315
CC(=O)C=C(C)C,CID316
N#CSc1ccc(NC(=N)O)cc1,CID317
c1ccc2c(c1)CCc1cc(CN3CCCCC3)ccc1N2,CID318
CN(C)Cn1c(=O)oc2ccc(Cl)cc21,CID319
CC(C)=CC(O)=N/N=C/c1ccc([N+](=O)[O-])o1,CID320
CCCNS(=O)(=O)c1ccc(OP(=S)(OC)OC)cc1,CID321
CN(SN1CCOCC1)C(=O)Oc1cccc2c1OC(C)(C)C2,CID322
CC1(C)CSC(Cc2ccccc2)=N1,CID323
CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,CID324
CN(C)CCN1C(=O)c2ccccc2Nc2ccccc21,CID325
O=C1N=C(O)C(c2ccc(-c3ccccc3)cc2)=C1O,CID326
CC1COC2(c3ccccc3)c3cc(Br)ccc3N=C(O)CN12,CID327
CC(C)(C)CN=C(N=c1cc[nH]cc1)NC#N,CID328
C=CCN1CCN(/N=C/c2c3c(O)c4c(O)c(C)c5c(c4c2O)C(=O)[C@@](C)(OC=C[C@H](OC)[C@@H](C)[C@@H](OC(C)=O)[C@H](C)[C@H](O)[C@H](C)[C@@H](O)[C@@H](C)/C=C\C=C(\C)C(O)=N3)O5)CC1,CID329
CCCCC#N,CID330
CN=C(O)N1N=C(c2ccc(N)cc2)c2cc3c(cc2CC1C)OCO3,CID331
Cc1cc(CCl)cc(C)c1CCl,CID332
Cc1cc(C(=O)NN=C(S)S)ccn1,CID333
Cc1ccc(C(=O)c2ccc3c(c2)CC(C(=O)O)C3)o1,CID334
CC(CN1c2ccccc2Sc2cccnc21)N(C)C,CID335
CCCc1cnc([N+](=O)[O-])n1CCO,CID336
CN(C(=O)Oc1cccc2c1OC(C)(C)C2)S(=O)SC(C)(C)C,CID337
