SMILES,Cid
Nc1ccc(cc1C)C,Cid425
O=C(O)C1C(C=C(C)C)C1(C)(C),Cid426
O=C(O)CCS,Cid427
OC(c1ccccc1)C(N)C,Cid428
O=C1Nc3ccc(cc3(C(=NC1)c2ccccc2Cl))Cl,Cid429
OCCN(c1ncc2nc(nc(c2(n1))N3CCCCC3)N(CCO)CCO)CCO,Cid430
c1ccc(cc1)Sc2cccc(c2)Cl,Cid431
c1ccc(cc1)c2cccc(c2)c3ccccc3,Cid432
N#Cc1ccccc1,Cid433
O=C(O)C=Cc1ccccc1(OC(=O)C),Cid434
N(CC)CC,Cid435
O=C(O)CNC(=O)c1ccc(cc1)Cl,Cid436
Oc1ccc(cc1)C(O)CN,Cid437
O=Cc1ccc(O)cc1,Cid438
OC(c1cccc(N)c1)C,Cid439
O=C(C=Cc1ccc2OCOc2(c1))C,Cid440
O=CC(O)Nc1ccccc1,Cid441
O=C(Nc1ccc(cc1)C(C)C)N(C)C,Cid442
c1ccc2c(c1)c4cccc3cccc2c34,Cid443
n1c3ccccc3(cc2ccccc12),Cid444
O=C(O)C(C)CNC(=O)c2c(cc(c(N=C(N1CCOCC1)C)c2I)I)I,Cid445
OCCN(c1cccc(c1)C)CC,Cid446
Nc1c(cccc1C)C,Cid447
O=Cc1ccc(cc1)[N+](=O)[O-],Cid448
O=C(O)c1cc(N)ccc1(O),Cid449
O=C(OCC)C=CN(C)C,Cid450
O=C(N1CCN(CCO)CC1)CN3c2cc(ccc2SC3(=O))Cl,Cid451
Oc1cc(cc(c1)C)C,Cid452
O=C1c2cccc(c2(C(=O)N1CCCC))[N+](=O)[O-],Cid453
O=C(NCCN(CC)CC)c1ccc(N)cc1,Cid454
Nc1ccccc1CC,Cid455
O=C(O)CN(CC(=O)O)CC(=O)O,Cid456
O(c2ccccc2(OCC1OCCNC1))CC,Cid457
O=C(O)C(OCCOc1c(cc(c(c1I)N(C(=O)C)CC)I)I)C,Cid458
O=C(O)C2N(C(=O)C(NC(C(=O)OCC)CCc1ccccc1)C)CCC2,Cid459
O(CCN(C)C)CCN(C)C,Cid460
O=C(NC1CCCCC1)NS(=O)(=O)c2ccc(OC)c(OC)c2,Cid461
O=C1c3ccccc3(C(OC(=O)C(CC)CCCC)=C1c2c(cc(cc2C)C)C),Cid462
O=C(OCC)C=Cc1ccc(OCCC)c(OC)c1,Cid463
O=P(Oc1ccccc1)(Oc2ccccc2)Oc3ccccc3C(C)C,Cid464
O=NN(COC(=O)C)CCCC,Cid465
O=C(N(c1c(OCC)cccc1C)COCCC)CCl,Cid466
O(c1ccc(cc1(N))C)C,Cid467
O=C(OCC=C)CCCCCC,Cid468
NCCCNCCCN,Cid469
O=C(c1ccccc1Cl)C,Cid470
